play_id,player_id,x,y,m
1,13,22,27,x
1,1,6,34,x
1,2,18,23,x
1,3,26,20,x
1,4,9,30,x
1,5,23,19,x
1,6,24,26,x
1,7,14,20,x
1,8,25,21,x
1,9,24,18,x
1,10,23,17,x
1,20,30,20,o
1,21,34,26,o
1,22,31,25,o
1,23,28,28,o
1,24,30,17,o
1,25,34,19,o
1,26,30,21,o
1,27,30,34,o
1,28,33,24,o
1,29,33,20,o
1,30,28,14,o
2,13,23,27,x
2,1,9,35,x
2,2,22,24,x
2,3,27,21,x
2,4,13,29,x
2,5,26,18,x
2,6,28,25,x
2,7,16,20,x
2,8,30,20,x
2,9,29,17,x
2,10,27,16,x
2,20,35,19,o
2,21,38,26,o
2,22,33,25,o
2,23,33,29,o
2,24,33,18,o
2,25,39,20,o
2,26,32,22,o
2,27,35,35,o
2,28,35,23,o
2,29,35,19,o
2,30,32,13,o
3,13,24,28,x
3,1,14,34,x
3,2,27,25,x
3,3,30,21,x
3,4,16,28,x
3,5,31,18,x
3,6,30,24,x
3,7,20,19,x
3,8,31,21,x
3,9,34,18,x
3,10,28,17,x
3,20,40,20,o
3,21,40,25,o
3,22,34,24,o
3,23,38,30,o
3,24,36,18,o
3,25,42,19,o
3,26,36,23,o
3,27,36,34,o
3,28,36,23,o
3,29,40,18,o
3,30,35,12,o
4,13,25,28,x
4,1,18,34,x
4,2,32,24,x
4,3,33,21,x
4,4,18,27,x
4,5,34,18,x
4,6,33,25,x
4,7,25,19,x
4,8,33,22,x
4,9,37,17,x
4,10,29,16,x
4,20,44,21,o
4,21,42,24,o
4,22,39,25,o
4,23,43,29,o
4,24,39,19,o
4,25,46,19,o
4,26,37,22,o
4,27,41,35,o
4,28,38,23,o
4,29,44,17,o
4,30,37,13,o
5,13,26,29,x
5,1,22,35,x
5,2,35,25,x
5,3,38,22,x
5,4,20,28,x
5,5,35,19,x
5,6,34,26,x
5,7,27,19,x
5,8,36,23,x
5,9,40,17,x
5,10,31,16,x
5,20,46,20,o
5,21,46,25,o
5,22,42,26,o
5,23,46,28,o
5,24,43,18,o
5,25,47,19,o
5,26,38,23,o
5,27,46,36,o
5,28,42,22,o
5,29,45,16,o
5,30,41,13,o
6,13,31,28,x
6,1,25,36,x
6,2,38,25,x
6,3,39,21,x
6,4,24,29,x
6,5,40,20,x
6,6,39,25,x
6,7,31,18,x
6,8,41,22,x
6,9,43,17,x
6,10,34,16,x
6,20,50,19,o
6,21,48,24,o
